,brand,number_of_items,all_ratings_count
28693,iFlash,19,126
19582,QualGear,19,1217
4581,CableJive,7,231
16409,Mopar,22,263
17857,Optimal Shop,33,334
4389,COOLEAD,22,126
28668,iDOO,25,1115
10666,HDStars,94,465
18815,Pioneer,460,5624
25728,VidPro,59,303
20469,Ruggan,13,130
20255,Rienar,10,274
15148,MFJ,79,262
25054,Ultra Clarity Cables,31,1908
24876,UOKOO,52,1441
13113,KINESIS,17,212
18045,PAC,78,771
4652,CalDigit,7,124
7678,EZOPower,47,677
29223,nextec,22,281
19948,Rain Design,6,518
18956,Polar Pro Filters,24,333
14415,Lenovo,960,6660
21330,Satellite Oasis,10,128
2173,Assurant Solutions,372,2618
199,4Keyboard,80,324
12679,Jabees,9,168
14557,Lightahead,13,122
29225,niceeshop,84,279
6230,DLPIN,7,119
23474,TOMTOP,11,161
25125,Unistar,9,547
8225,Eorefo,7,137
14736,Loctek,46,720
3112,Belkin,767,12753
6394,DXG,9,104
12117,Impecca,25,154
24899,URBEST,15,193
23981,Tera Grand,31,851
18959,Polare,11,232
11768,ICOLOR,47,493
57,1MORE,5,1570
14436,Lenspen,20,137
20506,Rustic Town,8,243
361,ABLEGRID,29,322
24752,Tzumi,17,103
20183,Reshow,5,260
25250,VAKOO,6,128
20282,RioRand,47,230
17870,Optoma,58,555
2615,BENEWY,13,789
17593,OSOYOO,8,118
16396,Moonet,21,163
9894,Gechic,14,104
63,1st Choice,6,141
2829,BUBM,67,423
14757,Logitech,745,45041
23669,TYT,27,391
16672,NAC Wire and Cables,74,151
2407,Avantree,37,4601
19670,RAM,70,212
11687,Hypario,18,121
521,AIFFECT,20,140
27588,Zacro,5,202
27096,YETOR,8,146
23079,Suptek,9,609
26610,Wisconsin Auto Supply,14,122
12515,JEXON,19,440
12599,JOOAN,22,369
4578,CableGeeker,12,1053
17575,ORICO,110,2279
8166,Enermax,35,244
25476,Vackoey,8,213
28793,iParaAiluRy,21,225
18220,PLR,44,198
685,ANCwear,9,178
26091,WEme,33,817
21446,Seagate,334,8128
3551,Bluecell,37,398
22620,Square Deal Recordings & Supplies,157,738
28819,iRonsnow,10,964
2455,Awolf,9,152
5852,Crucial,216,5218
5242,Cisco,240,851
24703,Turpro,11,351
23346,TENVIS,18,277
19118,Powerextra,102,3557
27248,Yamaha Audio,148,2730
20868,SNOW,6,139
8090,Elsse,52,1164
13545,Kingston,296,4096
24500,Tranesca,10,1043
25184,UrSpeedtekLive,17,201
7338,ECANDY,30,113
23192,Syncwire,6,5041
2958,Barnes & Noble,58,371
9629,GMYLE,222,2438
4255,CHUWI,12,133
23133,Sweet Tea Decals,55,119
15282,MOHOO,27,415
4171,CEARI,82,419
9761,GW Security Inc,136,818
10271,Golf Buddy,18,591
22953,Sungwoo,7,169
11302,High Sierra,28,1744
21245,Sametop,20,627
5031,Cerwin-Vega,59,312
6641,Deli,5,110
28795,iPazzPort,27,1025
25648,Verizon,40,419
8350,Evercool,43,185
11697,HyperX,17,1888
13667,Koolertron,94,615
17103,NewShine,32,190
20300,Ritz Camera,64,433
23974,Tensun,10,115
14844,Lowpricenice,14,315
17047,NeuTab,13,796
6087,DEEGO,13,221
8991,Fintie,2000,47054
17689,Office Depot,7,179
2034,Arctic Silver 5,8,453
17796,Onirii,11,282
14674,LiteFuze,9,102
8624,FITUEYES,10,592
16968,Naxa Electronics,108,834
3167,Berchirly,15,109
19036,Power Acoustik,122,779
25386,VIVO,111,4627
7539,ERP,9,105
15434,Macally,64,1053
2294,AudioQuest,196,983
9819,Gambolex,62,117
8084,EloBeth,8,298
24326,Tomameri,17,135
22059,Skyvast,77,1242
23062,Supersonic,84,1154
9982,Genius,35,458
22783,Sto-Fen,17,104
16471,Mount Factory,9,781
10605,HAOCOO,74,302
5191,Chuanganzhuo,43,2921
29728,,796,4247
871,ASURION,58,156
7908,EforTek,24,159
19707,RCAW9,5,409
9077,Flashpoint,76,367
17759,OmniMount,40,461
7613,EWETON,17,239
18652,Phiaton,11,214
6172,DIGITNOW,20,192
23174,Syba,80,1378
17381,NuVur,63,116
5225,Cineyo,12,1789
21986,Sirui,65,310
21537,Selens,57,552
10819,HOTCOOL,15,108
16994,Nekteck,12,408
9235,FosPower,69,2309
3793,Braven,44,443
20891,SOLOMARK,33,180
22257,SoftRound,19,322
24440,TotalMount,12,647
5862,Cryorig,20,647
8141,EnGenius,45,301
22723,Steklo,6,279
12654,JUYOON,11,156
24316,Tokina,28,219
6356,DTech,34,235
14832,LoveRPi,23,441
20946,SPIN CLEAN,5,180
28748,iMah,38,1312
13096,KHOMO,59,1840
13374,Keen Eye,55,121
19816,RND,8,115
